subscriber_number,fid,created_at_timestamp
697,533147,1748376599.10386
698,247470,1748376599.10452
699,4790,1748376599.11239
700,6422,1748376599.11377
701,347433,1748376599.11466
702,9134,1748376599.13377
703,311516,1748376599.13593
704,737951,1748376599.15314
705,10442,1748376599.15338
706,235085,1748376599.18652
707,559986,1748376599.47982
708,191789,1748376600.33478
709,196250,1748376600.34469
710,217590,1748376600.35707
711,187888,1748376600.60583
712,195058,1748376600.60764
713,2199,1748376600.61097
714,21750,1748376600.61354
715,875585,1748376600.61416
716,2564,1748376600.64481
717,883863,1748376600.64517
718,492308,1748376600.65054
719,549801,1748376600.72363
720,349975,1748376601.37077
721,194882,1748376601.37351
722,615348,1748376601.37955
723,591322,1748376601.38096
724,408979,1748376601.38676
725,1091174,1748376601.38706
726,193158,1748376601.38737
727,18612,1748376601.40405
728,935759,1748376601.41575
729,2134,1748376602.87948
730,253598,1748376602.89854
731,1091067,1748376602.91155
732,280346,1748376602.91192
733,254622,1748376602.91477
734,13505,1748376602.91649
735,232284,1748376602.91682
736,17142,1748376602.91719
737,333696,1748376602.93595
738,195739,1748376602.93960
739,306729,1748376603.09836
740,366713,1748376603.11209
741,299934,1748376603.11249
742,18570,1748376603.11309
743,1088583,1748376603.11348
744,288012,1748376603.11817
745,22761,1748376604.35039
746,249682,1748376604.35084
747,1091189,1748376604.35392
748,4163,1748376604.35513
749,632036,1748376604.35596
750,273639,1748376604.36142
751,331697,1748376604.38494
752,341405,1748376604.40051
753,686004,1748376604.40532
754,434598,1748376605.36107
755,827523,1748376605.38262
756,194410,1748376605.39803
757,239965,1748376605.70149
758,12938,1748376606.89805
759,555485,1748376606.89838
760,17916,1748376606.89869
761,306690,1748376606.89899
762,305,1748376606.89930
763,6902,1748376606.92604
764,569026,1748376607.12428
765,462950,1748376607.13222
766,265062,1748376607.14754
767,189078,1748376608.37421
768,11535,1748376608.37481
769,15722,1748376608.37545
770,7464,1748376608.37650
771,550521,1748376608.41192
772,18745,1748376608.41751
773,16002,1748376609.37572
774,449118,1748376609.37663
775,235178,1748376609.38854
776,99,1748376609.39026
777,243154,1748376609.43108
778,1090290,1748376610.92687
779,232984,1748376610.92959
780,719715,1748376610.93066
781,245753,1748376610.93101
782,331988,1748376610.93133
783,193488,1748376610.95185
784,340016,1748376610.98755
785,522165,1748376610.98993
786,412761,1748376610.99106
787,3263,1748376610.99138
788,16965,1748376611.14797
789,17283,1748376611.16804
790,629454,1748376611.16847
791,600901,1748376611.16887
792,524139,1748376611.16927
793,15100,1748376611.18453
794,336594,1748376611.18755
795,329927,1748376611.18793
796,1689,1748376611.19072
797,18281,1748376611.22576
798,193174,1748376611.22613
799,888888,1748376612.39556
800,12129,1748376612.40280
801,296,1748376612.40317
802,4951,1748376613.40257
803,290673,1748376613.41226
804,249702,1748376613.42929
805,235956,1748376613.44050
806,311936,1748376613.44097
807,475432,1748376614.95920
808,434444,1748376614.95963
809,11027,1748376614.96338
810,340526,1748376615.15441
811,420678,1748376615.15703
812,228763,1748376615.16020
813,443225,1748376615.16091
814,9048,1748376615.16129
815,307159,1748376615.16983
816,346855,1748376615.17025
817,1089121,1748376615.17220
818,1091171,1748376615.18727
819,229022,1748376616.40426
820,1042644,1748376616.40467
821,246843,1748376616.40514
822,452923,1748376617.42248
823,708354,1748376617.42781
824,7878,1748376617.43009
825,772932,1748376617.43035
826,1081915,1748376617.43075
827,384272,1748376617.43114
828,1078044,1748376617.43278
829,2441,1748376617.43899
830,312,1748376618.94690
831,251492,1748376618.94754
832,443847,1748376618.94942
833,5713,1748376618.95086
834,193402,1748376618.95265
835,239748,1748376618.95297
836,193445,1748376618.95381
837,14870,1748376618.95686
838,264781,1748376618.96094
839,323433,1748376619.15442
840,298935,1748376619.15580
841,430120,1748376619.15973
842,660288,1748376619.16508
843,7633,1748376619.16620
844,274646,1748376619.16692
845,1725,1748376620.42699
846,17930,1748376620.44029
847,13323,1748376620.44570
848,543704,1748376620.44603
849,612310,1748376620.44781
850,234568,1748376620.44814
851,507376,1748376620.45473
852,217248,1748376620.45502
853,2391,1748376620.45532
